City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
140,maun,BW,-19.9833,23.4167,78.76,57,0,9.22,clear sky
141,kapit,MY,2.0167,112.9333,81.34,85,100,2.82,overcast clouds
142,victoria,HK,22.2855,114.1577,80.2,99,69,5.99,broken clouds
143,chumikan,RU,54.7183,135.315,-16.69,75,7,17.58,clear sky
144,the valley,AI,18.217,-63.0578,78.1,79,15,19.19,few clouds
145,aykino,RU,62.2248,49.9922,27.05,94,100,8.9,overcast clouds
146,beringovskiy,RU,63.05,179.3167,-5.69,97,100,15.7,overcast clouds
147,hualmay,PE,-11.0964,-77.6139,68.43,80,100,7.0,overcast clouds
148,khatanga,RU,71.9667,102.5,-53.03,100,100,1.1,overcast clouds
149,verkh-usugli,RU,52.7,115.1667,-8.77,86,100,2.24,overcast clouds
150,vilyuysk,RU,63.7553,121.6247,-69.7,100,72,2.1,broken clouds
151,hagere hiywet,ET,8.9833,37.85,71.49,26,55,4.83,broken clouds
152,kawhia,NZ,-38.0651,174.8183,62.83,80,10,3.94,clear sky
153,houma,US,29.5958,-90.7195,42.8,83,0,6.91,clear sky
154,kruisfontein,ZA,-34.0033,24.7314,72.88,53,71,8.43,broken clouds
155,pascagoula,US,30.3658,-88.5561,35.65,87,6,10.42,clear sky
156,rocha,UY,-34.4833,-54.3333,57.67,80,2,4.79,clear sky
157,selma,US,36.5708,-119.6121,56.98,88,0,8.05,clear sky
158,rawson,AR,-43.3002,-65.1023,68.05,49,93,6.96,overcast clouds
159,youghal,IE,51.95,-7.8506,43.81,100,100,17.78,overcast clouds
160,southbridge,US,42.0751,-72.0334,34.93,91,100,4.0,overcast clouds
161,high level,CA,58.5169,-117.136,8.71,92,75,9.22,snow
162,tasiilaq,GL,65.6145,-37.6368,15.96,61,100,21.34,overcast clouds
163,samarai,PG,-10.6167,150.6667,80.11,80,98,1.25,overcast clouds
164,puerto ayora,EC,-0.7393,-90.3518,73.54,92,89,5.28,overcast clouds
165,sisimiut,GL,66.9395,-53.6735,10.22,70,100,15.55,overcast clouds
166,vysokogornyy,RU,50.1167,139.15,-10.88,96,100,7.92,overcast clouds
167,hirado,JP,33.3597,129.5531,55.38,88,100,18.95,overcast clouds
168,luton,GB,51.8797,-0.4175,49.64,94,100,18.41,overcast clouds
169,pacific grove,US,36.6177,-121.9166,56.52,93,20,3.44,few clouds
170,dikson,RU,73.5069,80.5464,-35.03,94,22,5.26,few clouds
171,lagoa,PT,39.05,-27.9833,56.08,86,100,30.4,moderate rain
172,huangzhou,CN,30.45,114.8,39.61,73,100,22.26,overcast clouds
173,uvira,CD,-3.4067,29.1458,75.33,64,10,3.62,clear sky
174,hervey bay,AU,-25.2986,152.8535,71.02,92,100,8.01,light rain
175,seoul,KR,37.5683,126.9778,44.2,87,100,10.36,light rain
176,djambala,CG,-2.5447,14.7533,77.49,65,100,1.57,overcast clouds
177,san patricio,US,28.017,-97.5169,57.83,48,0,5.39,clear sky
178,kavieng,PG,-2.5744,150.7967,82.56,74,100,5.5,overcast clouds
179,lang son,VN,21.8333,106.7333,83.37,34,0,6.91,clear sky
180,talnakh,RU,69.4865,88.3972,-35.55,86,78,6.26,broken clouds
181,nyaunglebin,MM,17.95,96.7333,89.56,21,0,5.66,clear sky
182,trinidad,BO,-14.8333,-64.9,73.42,86,64,5.61,broken clouds
183,kaitangata,NZ,-46.2817,169.8464,56.86,74,19,6.76,few clouds
184,khovu-aksy,RU,51.1333,93.6,-5.19,84,96,1.77,overcast clouds
185,jamestown,US,42.097,-79.2353,22.59,75,100,13.8,overcast clouds
186,lloydminster,CA,53.2835,-110.0016,12.42,92,100,12.66,mist
187,faya,SA,18.3851,42.4509,60.91,52,98,10.83,overcast clouds
188,naze,JP,28.3667,129.4833,70.72,80,66,15.86,broken clouds
189,marana,US,32.4367,-111.2254,64.76,31,100,2.93,overcast clouds
190,raychikhinsk,RU,49.7838,129.4121,-25.01,91,1,3.67,clear sky
191,portland,US,45.5234,-122.6762,52.03,93,100,11.5,overcast clouds
192,fortuna,US,40.5982,-124.1573,53.94,94,100,20.71,light rain
193,nurota,UZ,40.5614,65.6886,16.05,66,1,9.37,clear sky
194,oranjemund,NA,-28.55,16.4333,68.63,69,0,15.35,clear sky
195,whitehorse,CA,60.7161,-135.0538,7.81,83,100,2.3,overcast clouds
196,yulara,AU,-25.2406,130.9889,99.95,14,7,17.2,clear sky
197,torbay,CA,47.6666,-52.7314,45.28,93,100,28.77,moderate rain
198,avarua,CK,-21.2078,-159.775,71.65,78,20,2.3,few clouds
199,lavrentiya,RU,65.5833,-171.0,-6.09,88,44,9.13,scattered clouds
200,santa cruz de la palma,ES,28.6835,-17.7642,66.34,72,75,6.91,broken clouds
201,neiafu,TO,-18.65,-173.9833,83.25,75,15,1.36,few clouds
202,east london,ZA,-33.0153,27.9116,72.54,94,100,4.61,overcast clouds
203,baijiantan,CN,45.6333,85.1833,-3.17,86,39,2.89,scattered clouds
204,abashiri,JP,44.0213,144.2697,24.94,93,75,9.22,broken clouds
205,kahului,US,20.8947,-156.47,72.84,80,40,5.75,scattered clouds
206,phimai,TH,15.2232,102.4947,97.29,25,1,9.19,clear sky
207,moranbah,AU,-22.0016,148.0466,64.9,96,100,20.13,light rain
208,akyab,MM,20.15,92.9,78.71,43,0,13.65,clear sky
209,georgetown,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
210,ponta do sol,PT,32.6667,-17.1,62.01,74,8,5.68,clear sky
211,kinablangan,PH,7.6947,126.5503,79.03,88,100,4.63,overcast clouds
212,kulhudhuffushi,MV,6.6221,73.07,79.32,70,61,6.55,broken clouds
213,cherskiy,RU,68.75,161.3,-31.59,96,100,2.73,overcast clouds
214,talgram,IN,27.05,79.65,71.85,48,0,9.17,clear sky
